"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2016","10","2","Bluestar's Prophecy: Warriors: Super Edition Series, Book 2","Erin Hunter","Fantasy, Juvenile Fiction","HarperCollins Publishers Inc.","2009"
"Physical","Horizon","BOOK","2016","10","1","Negroes and the gun : the Black tradition of arms / Nicholas Johnson.","Johnson, Nicholas, 1959-","African Americans Civil rights United States History, Firearms ownership United States History, Firearms United States Use in crime prevention History, Self defense United States History","Prometheus Books,","2014."
"Digital","Freegal","SONG","2016","10","1","Freeway","Santana",,,
"Physical","Horizon","BOOK","2016","10","1","The Kurosagi Corpse Delivery Service omnibus edition. 4 / story, Eiji Otsuka ; art, Housui Yamazaki ; original cover design, Bunpei Yorifuji ; translation, Toshifumi Yoshida ; editor and English adaptation, Carl Gustav Horn ; lettering and touch-up, IHL.","Ōtsuka, Eiji, 1958-","Otsuka Eiji 1958 Translations into English, Buddhists Comic books strips etc, Dead Comic books strips etc, Reincarnation Buddhism Comic books strips etc, Supernatural Comic books strips etc, Horror comic books strips etc, Paranormal comics, Graphic novels","Dark Horse Manga,","2016."
"Physical","Horizon","SOUNDDISC","2016","10","1","Namasʼté [sound recording] : massage.",,"New Age music, Music for relaxation","Real Music,","p2011."
"Physical","Horizon","BOOK","2016","10","1","The dark defiles / Richard K. Morgan.","Morgan, Richard K., 1965-","Soldiers Fiction, Quests Expeditions Fiction, Wizards Fiction, Voyages and travels Fiction, Magic Fiction, Fantasy fiction","Del Rey,","[2014]"
"Physical","Horizon","BOOK","2016","10","11","Snow / written by Marion Dane Bauer ; illustrated by John Wallace.","Bauer, Marion Dane","Snow Juvenile literature, Snow","Simon Spotlight,","2016."
"Digital","Freegal","SONG","2016","10","1","Elevator Muzik","Ressurrection Band",,,
"Physical","Horizon","BOOK","2016","10","3","Would I trade my parents? / by Laura Numeroff ; illustrated by James Bernardin.","Numeroff, Laura Joffe","Parents Juvenile fiction, Individuality Juvenile fiction","Abrams Books for Young Readers,","2009."
"Physical","Horizon","BOOK","2016","10","1","Demon from afar. 3 / Kaori Yuki ; translation: Camellia Nieh ; lettering: Lys Blakeslee.","Yuki, Kaori","Supernatural Comic books strips etc, Orphans Comic books strips etc, Demonology Comic books strips etc, Fantasy comics, Graphic novels","Yen Press,","2015."
"Digital","OverDrive","EBOOK","2016","10","1","The Passport","Herta Muller","Fiction, Literature","Profile Books Ltd","2013"
"Physical","Horizon","BOOK","2016","10","2","ILLM Cannons & flowers : the memoirs of Georges Cziffra",,,,
