,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
9513,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Capacity for Murder: Professor Bradshaw Mystery Series, Book 3 (unabridged) (Unabridged)",Bernadette Pajer,"Fiction, Mystery","Blackstone Audio, Inc.",2013
9532,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Bamboo and Blood: Inspector O Series, Book 3 (unabridged) (Unabridged)",James Church,"Fiction, Mystery","Blackstone Audio, Inc.",2011
9548,Digital,OverDrive,AUDIOBOOK,2018,1,7,"Desperately Seeking A Duke: Heiress Brides Series, Book 1 (unabridged) (Unabridged)",Celeste Bradley,"Erotic Literature, Fiction, Romance","Tantor Media, Inc",2014
9550,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Dancing Shoes: Shoes Series, Book 9 (unabridged) (Unabridged)",Noel Streatfeild,"Juvenile Fiction, Juvenile Literature",Books on Tape,2007
9551,Digital,OverDrive,AUDIOBOOK,2018,1,5,Nocturnes: Five Stories of Music and Nightfall (unabridged) (Unabridged),Kazuo Ishiguro,"Fiction, Literature",Books on Tape,2009
9557,Digital,OverDrive,AUDIOBOOK,2018,1,2,Fancy Nancy and the Fall Foliage (Unabridged),Jane O'Connor,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2014
9563,Digital,OverDrive,AUDIOBOOK,2018,1,3,Divided by Faith: Evangelical Religion and the Problem of Race in America (unabridged) (Unabridged),Michael O. Emerson,"Nonfiction, Religion & Spirituality","Tantor Media, Inc",2017
9589,Digital,OverDrive,AUDIOBOOK,2018,1,1,Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II (unabridged) (Unabridged),Robert Kurson,"History, Military, Nonfiction",Books on Tape,2006
9591,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Lady of the Rivers: Cousins' War Series, Book 3 (unabridged) (Unabridged)",Philippa Gregory,"Fiction, Historical Fiction","Recorded Books, LLC",2015
9599,Digital,OverDrive,AUDIOBOOK,2018,1,1,"A Catskill Eagle: Spenser Series, Book 12 (unabridged) (Unabridged)",Robert B. Parker,"Fiction, Mystery",Books on Tape,2009
9600,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Ultimate Showdown: Middle School Series, Book 5 (unabridged) (Unabridged)",James Patterson,"Humor (Fiction), Juvenile Fiction","Blackstone Audio, Inc.",2014
9613,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Purple Diaries: Mary Astor and the Most Sensational Hollywood Scandal of the 1930s (unabridged) (Unabridged),Joseph Egan,"Biography & Autobiography, History, Nonfiction, Performing Arts","Blackstone Audio, Inc.",2017
9620,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Black Ice: Young Sherlock Holmes Series, Book 3 (unabridged) (Unabridged)",Andrew Lane,"Historical Fiction, Mystery, Young Adult Fiction, Young Adult Literature",Macmillan Audio,2013
9634,Digital,OverDrive,AUDIOBOOK,2018,1,6,"Dream Hoarders: How the American Upper Middle Class Is Leaving Everyone Else in the Dust, Why That Is a Problem, and What to Do about It (unabridged) (Unabridged)",Richard V. Reeves,"Business, Nonfiction, Sociology","Blackstone Audio, Inc.",2017
9656,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Silentium: Halo: Forerunner Saga, Book 3 (unabridged) (Unabridged)",Greg Bear,"Fiction, Literature, Science Fiction",Macmillan Audio,2013
9672,Digital,OverDrive,AUDIOBOOK,2018,1,1,Reawakened (Unabridged),Colleen Houck,"Historical Fiction, Mythology, Romance, Young Adult Fiction",Books on Tape,2015
9673,Digital,OverDrive,AUDIOBOOK,2018,1,1,Rapunzel and Other Classics of Childhood: Classics Read by Celebrities (unabridged) (Unabridged),Various Authors,"Juvenile Fiction, Juvenile Literature","Blackstone Audio, Inc.",2010
9677,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Bloodlines: Vampire Academy: Bloodlines Series, Book 1 (unabridged) (Unabridged)",Richelle Mead,"Fantasy, Young Adult Fiction",Books on Tape,2011
9728,Digital,OverDrive,AUDIOBOOK,2018,1,7,Evolve Your Brain: The Science of Changing Your Mind (unabridged) (Unabridged),Joe Dispenza,"Nonfiction, Psychology, Self-Improvement","Tantor Media, Inc",2017
9731,Digital,OverDrive,AUDIOBOOK,2018,1,2,Brother Ray: Ray Charles' Own Story (unabridged) (Unabridged),Ray Charles,"African American Nonfiction, Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2005
9738,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Pebble in the Sky: Empire Series, Book 1 (unabridged) (Unabridged)",Isaac Asimov,"Fiction, Science Fiction","Blackstone Audio, Inc.",2009
